timestamp,location,temperature,humidity,solar_irradiance
2025-05-12 12:00:00,New York,25.72,41.37,954.15
2025-05-12 13:00:00,New York,26.77,29.58,828.11
2025-05-12 14:00:00,New York,24.69,43.19,825.75
2025-05-12 15:00:00,New York,29.78,33.3,731.78
2025-05-12 16:00:00,New York,21.91,49.44,484.24
2025-05-12 17:00:00,New York,19.11,47.92,263.16
2025-05-12 18:00:00,New York,14.03,62.35,115.73
2025-05-12 19:00:00,New York,8.68,76.08,0.0
2025-05-12 20:00:00,New York,6.77,74.09,0.0
2025-05-12 21:00:00,New York,10.11,70.11,0.0
2025-05-12 22:00:00,New York,4.18,78.05,0.0
2025-05-12 23:00:00,New York,6.7,72.95,0.0
2025-05-13 00:00:00,New York,5.43,79.36,0.0
2025-05-13 01:00:00,New York,4.04,92.64,0.0
2025-05-13 02:00:00,New York,7.61,64.66,0.0
2025-05-13 03:00:00,New York,8.3,70.09,0.0
2025-05-13 04:00:00,New York,11.7,62.63,0.0
2025-05-13 05:00:00,New York,12.18,68.16,0.0
2025-05-13 06:00:00,New York,16.73,50.54,0.0
2025-05-13 07:00:00,New York,16.64,53.46,363.27
2025-05-13 08:00:00,New York,20.81,42.08,545.89
2025-05-13 09:00:00,New York,26.32,42.53,599.03
2025-05-13 10:00:00,New York,22.69,50.95,764.62
2025-05-13 11:00:00,New York,25.55,42.78,828.65
2025-05-13 12:00:00,New York,24.88,24.03,848.78
2025-05-13 13:00:00,New York,24.15,35.45,956.62
2025-05-13 14:00:00,New York,20.8,46.2,806.54
2025-05-13 15:00:00,New York,24.95,32.91,733.16
2025-05-13 16:00:00,New York,20.02,45.05,523.11
2025-05-13 17:00:00,New York,17.99,51.03,278.49
2025-05-13 18:00:00,New York,14.23,62.11,33.11
2025-05-13 19:00:00,New York,15.58,52.64,0.0
2025-05-13 20:00:00,New York,14.27,51.71,0.0
2025-05-13 21:00:00,New York,7.63,77.69,0.0
2025-05-13 22:00:00,New York,6.9,73.08,0.0
2025-05-13 23:00:00,New York,4.92,77.69,0.0
2025-05-14 00:00:00,New York,3.82,86.61,0.0
2025-05-14 01:00:00,New York,6.05,74.43,0.0
2025-05-14 02:00:00,New York,8.14,75.26,0.0
2025-05-14 03:00:00,New York,9.55,74.04,0.0
2025-05-14 04:00:00,New York,8.34,70.52,0.0
2025-05-14 05:00:00,New York,13.91,65.24,0.0
2025-05-14 06:00:00,New York,14.96,60.67,63.88
2025-05-14 07:00:00,New York,16.41,59.93,264.89
2025-05-14 08:00:00,New York,19.56,56.36,541.27
2025-05-14 09:00:00,New York,23.7,49.13,676.05
2025-05-14 10:00:00,New York,25.02,38.4,816.21
2025-05-14 11:00:00,New York,24.4,41.69,904.76
2025-05-14 12:00:00,New York,23.36,53.73,849.7
2025-05-14 13:00:00,New York,22.23,51.33,914.58
2025-05-14 14:00:00,New York,24.91,43.32,799.39
2025-05-14 15:00:00,New York,20.28,49.83,641.14
2025-05-14 16:00:00,New York,21.95,45.36,458.73
2025-05-14 17:00:00,New York,16.95,58.17,246.81
2025-05-14 18:00:00,New York,13.36,64.51,12.25
2025-05-14 19:00:00,New York,11.4,64.85,0.0
2025-05-14 20:00:00,New York,10.46,61.83,0.0
2025-05-14 21:00:00,New York,5.11,76.18,0.0
2025-05-14 22:00:00,New York,5.91,79.73,0.0
2025-05-14 23:00:00,New York,8.29,77.71,0.0
2025-05-15 00:00:00,New York,4.68,80.54,0.0
2025-05-15 01:00:00,New York,3.34,83.24,0.0
2025-05-15 02:00:00,New York,5.76,80.09,0.0
2025-05-15 03:00:00,New York,6.27,80.05,0.0
2025-05-15 04:00:00,New York,13.07,63.33,0.0
2025-05-15 05:00:00,New York,13.22,67.02,0.0
2025-05-15 06:00:00,New York,14.2,62.73,0.63
2025-05-15 07:00:00,New York,17.78,50.57,276.23
2025-05-15 08:00:00,New York,21.0,55.26,547.96
2025-05-15 09:00:00,New York,26.38,33.41,718.62
2025-05-15 10:00:00,New York,24.03,52.9,759.59
2025-05-15 11:00:00,New York,22.98,41.04,768.81
2025-05-15 12:00:00,New York,23.95,38.31,907.52
2025-05-15 13:00:00,New York,25.34,48.7,922.52
2025-05-15 14:00:00,New York,22.51,40.5,824.6
2025-05-15 15:00:00,New York,19.43,60.3,733.97
2025-05-15 16:00:00,New York,19.06,43.31,567.69
2025-05-15 17:00:00,New York,17.36,61.47,195.28
2025-05-15 18:00:00,New York,13.8,62.42,2.35
2025-05-15 19:00:00,New York,11.51,70.09,0.0
2025-05-15 20:00:00,New York,7.86,73.56,0.0
2025-05-15 21:00:00,New York,8.17,76.23,0.0
2025-05-15 22:00:00,New York,7.76,68.85,0.0
2025-05-15 23:00:00,New York,2.27,91.84,0.0
2025-05-16 00:00:00,New York,5.66,74.93,0.0
2025-05-16 01:00:00,New York,8.44,73.69,0.0
2025-05-16 02:00:00,New York,8.7,72.94,0.0
2025-05-16 03:00:00,New York,12.05,74.68,0.0
2025-05-16 04:00:00,New York,9.5,75.85,0.0
2025-05-16 05:00:00,New York,13.7,69.44,0.0
2025-05-16 06:00:00,New York,13.07,67.29,52.92
2025-05-16 07:00:00,New York,14.07,55.94,173.04
2025-05-16 08:00:00,New York,19.46,54.67,575.12
2025-05-16 09:00:00,New York,22.22,53.7,605.99
2025-05-16 10:00:00,New York,20.25,49.22,819.2
2025-05-16 11:00:00,New York,24.59,30.48,870.54
2025-05-16 12:00:00,New York,22.39,48.57,918.33
2025-05-16 13:00:00,New York,22.78,41.87,822.04
2025-05-16 14:00:00,New York,23.53,47.71,750.71
2025-05-16 15:00:00,New York,23.08,41.19,635.36
2025-05-16 16:00:00,New York,19.79,45.25,472.32
2025-05-16 17:00:00,New York,15.19,69.44,276.76
2025-05-16 18:00:00,New York,13.6,63.87,0.0
2025-05-16 19:00:00,New York,11.97,69.13,0.0
2025-05-16 20:00:00,New York,11.52,64.32,0.0
2025-05-16 21:00:00,New York,6.78,75.07,0.0
2025-05-16 22:00:00,New York,1.74,78.95,0.0
2025-05-16 23:00:00,New York,8.07,82.08,0.0
2025-05-17 00:00:00,New York,4.5,83.88,0.0
2025-05-17 01:00:00,New York,5.96,93.47,0.0
2025-05-17 02:00:00,New York,8.58,72.2,0.0
2025-05-17 03:00:00,New York,6.02,69.93,0.0
2025-05-17 04:00:00,New York,10.41,65.4,0.0
